Statistic Label,Month,NACE Group,UNIT,VALUE
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,83.3
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,92.6
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,62.1
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,134.4
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,113
Retail Sales Index Volume Unadjusted,2025 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,113.8
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,88.7
Retail Sales Index Volume Unadjusted,2025 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,104.1
Retail Sales Index Volume Unadjusted,2025 August,Motor trades (45),Base Year 2021=100,116.8
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,93.2
Retail Sales Index Volume Unadjusted,2025 August,Department stores (4719),Base Year 2021=100,98
Retail Sales Index Volume Unadjusted,2025 August,Retail sale of automotive fuel (4730),Base Year 2021=100,106.1
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,93.8
Retail Sales Index Volume Unadjusted,2025 August,Retail sale of furniture and lighting (4759),Base Year 2021=100,122
Retail Sales Index Volume Unadjusted,2025 August,Bars (5630),Base Year 2021=100,168.1
Retail Sales Index Volume Unadjusted,2025 August,All retail businesses,Base Year 2021=100,108.9
Retail Sales Index Volume Unadjusted,2025 August,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,115.2
Retail Sales Index Volume Unadjusted,2025 August,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,103.5
Retail Sales Index Volume Unadjusted,2025 August,"All retail businesses, excluding motor trades",Base Year 2021=100,106.2
Retail Sales Index Volume Unadjusted,2025 August,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.3
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,92.2
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,110.3
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,81.1
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,95.1
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,79.4
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,126
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,118.5
Retail Sales Index Volume Unadjusted,2025 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,118.4
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,121.1
Retail Sales Index Volume Unadjusted,2025 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,106
Retail Sales Index Volume Unadjusted,2025 September,Motor trades (45),Base Year 2021=100,101.3
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,88.9
Retail Sales Index Volume Unadjusted,2025 September,Department stores (4719),Base Year 2021=100,101.1
Retail Sales Index Volume Unadjusted,2025 September,Retail sale of automotive fuel (4730),Base Year 2021=100,106.2
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,97.2
Retail Sales Index Volume Unadjusted,2025 September,Retail sale of furniture and lighting (4759),Base Year 2021=100,139.8
Retail Sales Index Volume Unadjusted,2025 September,Bars (5630),Base Year 2021=100,166
Retail Sales Index Volume Unadjusted,2025 September,All retail businesses,Base Year 2021=100,105.9
Retail Sales Index Volume Unadjusted,2025 September,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,101.8
Retail Sales Index Volume Unadjusted,2025 September,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,104.9
Retail Sales Index Volume Unadjusted,2025 September,"All retail businesses, excluding motor trades",Base Year 2021=100,107.4
Retail Sales Index Volume Unadjusted,2025 September,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,104.8
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,88
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,115.2
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,77.9
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,109
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,101.6
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,119.5
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,128.6
Retail Sales Index Volume Unadjusted,2025 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,129.4
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,105.5
Retail Sales Index Volume Unadjusted,2025 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,95.2
Retail Sales Index Volume Unadjusted,2025 October,Motor trades (45),Base Year 2021=100,74.2
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,94.5
Retail Sales Index Volume Unadjusted,2025 October,Department stores (4719),Base Year 2021=100,94.3
Retail Sales Index Volume Unadjusted,2025 October,Retail sale of automotive fuel (4730),Base Year 2021=100,110.8
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,80.7
Retail Sales Index Volume Unadjusted,2025 October,Retail sale of furniture and lighting (4759),Base Year 2021=100,114.1
Retail Sales Index Volume Unadjusted,2025 October,Bars (5630),Base Year 2021=100,167.5
Retail Sales Index Volume Unadjusted,2025 October,All retail businesses,Base Year 2021=100,98.3
Retail Sales Index Volume Unadjusted,2025 October,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,79
Retail Sales Index Volume Unadjusted,2025 October,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,103.6
Retail Sales Index Volume Unadjusted,2025 October,"All retail businesses, excluding motor trades",Base Year 2021=100,106.2
Retail Sales Index Volume Unadjusted,2025 October,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.2
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,92.7
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,109.7
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,74.1
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,94.3
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,95.8
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,127
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,118
Retail Sales Index Volume Unadjusted,2025 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,118.5
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,104.2
Retail Sales Index Volume Unadjusted,2025 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,107
Retail Sales Index Volume Unadjusted,2025 November,Motor trades (45),Base Year 2021=100,79.1
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102.9
Retail Sales Index Volume Unadjusted,2025 November,Department stores (4719),Base Year 2021=100,111.4
Retail Sales Index Volume Unadjusted,2025 November,Retail sale of automotive fuel (4730),Base Year 2021=100,111.5
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,95.3
Retail Sales Index Volume Unadjusted,2025 November,Retail sale of furniture and lighting (4759),Base Year 2021=100,133.2
Retail Sales Index Volume Unadjusted,2025 November,Bars (5630),Base Year 2021=100,201
Retail Sales Index Volume Unadjusted,2025 November,All retail businesses,Base Year 2021=100,119.3
Retail Sales Index Volume Unadjusted,2025 November,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,83.3
Retail Sales Index Volume Unadjusted,2025 November,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,129.7
Retail Sales Index Volume Unadjusted,2025 November,"All retail businesses, excluding motor trades",Base Year 2021=100,132.6
Retail Sales Index Volume Unadjusted,2025 November,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,130.7
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,100.9
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,149.1
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,80.3
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,117.3
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,129.9
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,153.7
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,181
Retail Sales Index Volume Unadjusted,2025 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,182.8
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,131.4
Retail Sales Index Volume Unadjusted,2025 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,132.5
Retail Sales Index Volume Unadjusted,2025 December,Motor trades (45),Base Year 2021=100,49.6
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,119.3
Retail Sales Index Volume Unadjusted,2025 December,Department stores (4719),Base Year 2021=100,183.9
Retail Sales Index Volume Unadjusted,2025 December,Retail sale of automotive fuel (4730),Base Year 2021=100,106.8
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,97.3
Retail Sales Index Volume Unadjusted,2025 December,Retail sale of furniture and lighting (4759),Base Year 2021=100,128.3
Retail Sales Index Volume Unadjusted,2025 December,Bars (5630),Base Year 2021=100,261.6
Retail Sales Index Volume Unadjusted,2025 December,All retail businesses,Base Year 2021=100,136.1
Retail Sales Index Volume Unadjusted,2025 December,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,57.1
Retail Sales Index Volume Unadjusted,2025 December,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,160.8
Retail Sales Index Volume Unadjusted,2025 December,"All retail businesses, excluding motor trades",Base Year 2021=100,164.9
Retail Sales Index Volume Unadjusted,2025 December,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,163.8
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,117
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,192.8
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,92.8
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,123.4
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,147.3
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,209.5
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,224.9
Retail Sales Index Volume Unadjusted,2025 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,226.4
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,183.2
Retail Sales Index Volume Unadjusted,2025 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,188.6
Retail Sales Index Volume Unadjusted,2026 January,Motor trades (45),Base Year 2021=100,214.5
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,85.6
Retail Sales Index Volume Unadjusted,2026 January,Department stores (4719),Base Year 2021=100,76.4
Retail Sales Index Volume Unadjusted,2026 January,Retail sale of automotive fuel (4730),Base Year 2021=100,93.2
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,71.9
Retail Sales Index Volume Unadjusted,2026 January,Retail sale of furniture and lighting (4759),Base Year 2021=100,122.1
Retail Sales Index Volume Unadjusted,2026 January,Bars (5630),Base Year 2021=100,97.7
Retail Sales Index Volume Unadjusted,2026 January,All retail businesses,Base Year 2021=100,123.9
Retail Sales Index Volume Unadjusted,2026 January,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,197.9
Retail Sales Index Volume Unadjusted,2026 January,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,93.3
Retail Sales Index Volume Unadjusted,2026 January,"All retail businesses, excluding motor trades",Base Year 2021=100,93.5
Retail Sales Index Volume Unadjusted,2026 January,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,93.3
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,87.7
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,96.7
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,110.2
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,91.6
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,92.7
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,118.7
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,101.9
Retail Sales Index Volume Unadjusted,2026 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,100.2
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,149.6
Retail Sales Index Volume Unadjusted,2026 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,90.9
Retail Sales Index Volume Unadjusted,2026 February,Motor trades (45),Base Year 2021=100,153.1
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,96.2
Retail Sales Index Volume Unadjusted,2026 February,Department stores (4719),Base Year 2021=100,94.2
Retail Sales Index Volume Unadjusted,2026 February,Retail sale of automotive fuel (4730),Base Year 2021=100,99.6
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,85.2
Retail Sales Index Volume Unadjusted,2026 February,Retail sale of furniture and lighting (4759),Base Year 2021=100,123.5
Retail Sales Index Volume Unadjusted,2026 February,Bars (5630),Base Year 2021=100,218.3
Retail Sales Index Volume Unadjusted,2026 February,All retail businesses,Base Year 2021=100,118.6
Retail Sales Index Volume Unadjusted,2026 February,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,145.7
Retail Sales Index Volume Unadjusted,2026 February,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,102.2
Retail Sales Index Volume Unadjusted,2026 February,"All retail businesses, excluding motor trades",Base Year 2021=100,106.9
Retail Sales Index Volume Unadjusted,2026 February,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,102.3
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,94.6
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,107
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,77.5
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,97.2
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,92.8
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,119.9
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,116.6
Retail Sales Index Volume Unadjusted,2026 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,115.6
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,144.5
Retail Sales Index Volume Unadjusted,2026 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,95
Retail Sales Index Value Adjusted,2021 January,Motor trades (45),Base Year 2021=100,72.8
Retail Sales Index Value Adjusted,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102.8
Retail Sales Index Value Adjusted,2021 January,Department stores (4719),Base Year 2021=100,68
Retail Sales Index Value Adjusted,2021 January,Retail sale of automotive fuel (4730),Base Year 2021=100,69.9
Retail Sales Index Value Adjusted,2021 January,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,86.3
Retail Sales Index Value Adjusted,2021 January,Retail sale of furniture and lighting (4759),Base Year 2021=100,56.2
Retail Sales Index Value Adjusted,2021 January,Bars (5630),Base Year 2021=100,42.1
Retail Sales Index Value Adjusted,2021 January,All retail businesses,Base Year 2021=100,77.6
Retail Sales Index Value Adjusted,2021 January,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,73.3
Retail Sales Index Value Adjusted,2021 January,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,82.9
Retail Sales Index Value Adjusted,2021 January,"All retail businesses, excluding motor trades",Base Year 2021=100,82.5
Retail Sales Index Value Adjusted,2021 January,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,84.1
Retail Sales Index Value Adjusted,2021 January,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,105.6
Retail Sales Index Value Adjusted,2021 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,70.2
Retail Sales Index Value Adjusted,2021 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,109
Retail Sales Index Value Adjusted,2021 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,82.7
Retail Sales Index Value Adjusted,2021 January,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,105.2
Retail Sales Index Value Adjusted,2021 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,27.5
Retail Sales Index Value Adjusted,2021 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,69.8
Retail Sales Index Value Adjusted,2021 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,68.1
Retail Sales Index Value Adjusted,2021 January,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,60.3
Retail Sales Index Value Adjusted,2021 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,85.4
Retail Sales Index Value Adjusted,2021 February,Motor trades (45),Base Year 2021=100,96.6
Retail Sales Index Value Adjusted,2021 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,103.4
Retail Sales Index Value Adjusted,2021 February,Department stores (4719),Base Year 2021=100,84.8
Retail Sales Index Value Adjusted,2021 February,Retail sale of automotive fuel (4730),Base Year 2021=100,76.2
Retail Sales Index Value Adjusted,2021 February,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,101
Retail Sales Index Value Adjusted,2021 February,Retail sale of furniture and lighting (4759),Base Year 2021=100,61.5
Retail Sales Index Value Adjusted,2021 February,Bars (5630),Base Year 2021=100,27.4
Retail Sales Index Value Adjusted,2021 February,All retail businesses,Base Year 2021=100,88.2
Retail Sales Index Value Adjusted,2021 February,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,95.5
Retail Sales Index Value Adjusted,2021 February,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,87.5
Retail Sales Index Value Adjusted,2021 February,"All retail businesses, excluding motor trades",Base Year 2021=100,83.6
Retail Sales Index Value Adjusted,2021 February,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,88.1
Retail Sales Index Value Adjusted,2021 February,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,103.4
Retail Sales Index Value Adjusted,2021 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,79.5
Retail Sales Index Value Adjusted,2021 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,97.8
Retail Sales Index Value Adjusted,2021 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,92.6
Retail Sales Index Value Adjusted,2021 February,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,120.1
Retail Sales Index Value Adjusted,2021 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,27.3
Retail Sales Index Value Adjusted,2021 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,82.8
Retail Sales Index Value Adjusted,2021 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,83
Retail Sales Index Value Adjusted,2021 February,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,67.2
Retail Sales Index Value Adjusted,2021 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,93.3
Retail Sales Index Value Adjusted,2021 March,Motor trades (45),Base Year 2021=100,97.4
Retail Sales Index Value Adjusted,2021 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,101.9
Retail Sales Index Value Adjusted,2021 March,Department stores (4719),Base Year 2021=100,81.1
Retail Sales Index Value Adjusted,2021 March,Retail sale of automotive fuel (4730),Base Year 2021=100,86.8
Retail Sales Index Value Adjusted,2021 March,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,119.8
Retail Sales Index Value Adjusted,2021 March,Retail sale of furniture and lighting (4759),Base Year 2021=100,85.2
Retail Sales Index Value Adjusted,2021 March,Bars (5630),Base Year 2021=100,26.9
Retail Sales Index Value Adjusted,2021 March,All retail businesses,Base Year 2021=100,88.6
Retail Sales Index Value Adjusted,2021 March,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,96.9
Retail Sales Index Value Adjusted,2021 March,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,89.4
Retail Sales Index Value Adjusted,2021 March,"All retail businesses, excluding motor trades",Base Year 2021=100,85.3
Retail Sales Index Value Adjusted,2021 March,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,89.1
Retail Sales Index Value Adjusted,2021 March,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,102.2
Retail Sales Index Value Adjusted,2021 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,80.9
Retail Sales Index Value Adjusted,2021 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,101.7
Retail Sales Index Value Adjusted,2021 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,111
Retail Sales Index Value Adjusted,2021 March,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,111.7
Retail Sales Index Value Adjusted,2021 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,28.2
Retail Sales Index Value Adjusted,2021 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,80.9
Retail Sales Index Value Adjusted,2021 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,87
Retail Sales Index Value Adjusted,2021 March,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,69.3
Retail Sales Index Value Adjusted,2021 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,92.4
Retail Sales Index Value Adjusted,2021 April,Motor trades (45),Base Year 2021=100,90.2
Retail Sales Index Value Adjusted,2021 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102
Retail Sales Index Value Adjusted,2021 April,Department stores (4719),Base Year 2021=100,53.8
Retail Sales Index Value Adjusted,2021 April,Retail sale of automotive fuel (4730),Base Year 2021=100,89.9
Retail Sales Index Value Adjusted,2021 April,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,120.4
Retail Sales Index Value Adjusted,2021 April,Retail sale of furniture and lighting (4759),Base Year 2021=100,89.2
Retail Sales Index Value Adjusted,2021 April,Bars (5630),Base Year 2021=100,35.7
Retail Sales Index Value Adjusted,2021 April,All retail businesses,Base Year 2021=100,87.2
Retail Sales Index Value Adjusted,2021 April,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,91.1
Retail Sales Index Value Adjusted,2021 April,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,88
